epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,70.3831,0.83761,1.07109,1.12496,0.77417,0.38664,0.46716,0.35619,1.73227,2.18588,1.54965,2.82082e-05,2.82082e-05,2.82082e-05
40,72.1565,0.73259,1.0185,1.14322,0.77417,0.38664,0.46716,0.35619,1.73227,2.18588,1.54965,2.84911e-05,2.84911e-05,2.84911e-05
41,73.9914,0.72126,1.06907,1.02572,0.77,0.38674,0.46801,0.33992,1.74485,2.18863,1.55084,2.87504e-05,2.87504e-05,2.87504e-05
42,75.756,0.52015,1.70779,1.04823,0.77,0.38674,0.46801,0.33992,1.74485,2.18863,1.55084,2.89861e-05,2.89861e-05,2.89861e-05
43,77.559,1.1102,1.57827,1.38135,0.76756,0.38698,0.45678,0.33258,1.76779,2.21971,1.55603,2.91983e-05,2.91983e-05,2.91983e-05
44,79.3331,0.95128,1.12994,1.31525,0.76756,0.38698,0.45678,0.33258,1.76779,2.21971,1.55603,2.93869e-05,2.93869e-05,2.93869e-05
45,81.1623,0.65107,0.90588,1.0273,0.76523,0.38677,0.45667,0.33297,1.76734,2.27059,1.55028,2.9552e-05,2.9552e-05,2.9552e-05
46,82.923,0.76555,1.20151,1.19049,0.76523,0.38677,0.45667,0.33297,1.76734,2.27059,1.55028,2.96935e-05,2.96935e-05,2.96935e-05
47,84.801,0.85511,2.16023,1.29175,0.76174,0.38748,0.45836,0.33348,1.76857,2.28034,1.55503,2.98114e-05,2.98114e-05,2.98114e-05
48,86.5995,0.90389,1.73772,1.25789,0.76174,0.38748,0.45836,0.33348,1.76857,2.28034,1.55503,2.99058e-05,2.99058e-05,2.99058e-05
49,88.3644,0.74828,1.18597,1.25682,0.75959,0.38774,0.46759,0.3415,1.73725,2.26373,1.52576,2.99766e-05,2.99766e-05,2.99766e-05
50,90.105,0.76791,1.1524,1.25024,0.75959,0.38774,0.46759,0.3415,1.73725,2.26373,1.52576,3.00238e-05,3.00238e-05,3.00238e-05
51,91.8904,0.8401,1.09961,1.17608,0.75817,0.38816,0.47024,0.34134,1.72904,2.25844,1.52244,3.00475e-05,3.00475e-05,3.00475e-05
52,93.6211,0.8139,1.112,1.16845,0.75817,0.38816,0.47024,0.34134,1.72904,2.25844,1.52244,3.00476e-05,3.00476e-05,3.00476e-05
53,95.3834,0.82121,0.87029,1.25557,0.75817,0.38816,0.47024,0.34134,1.72904,2.25844,1.52244,3.00242e-05,3.00242e-05,3.00242e-05
54,97.1945,0.86368,1.07392,1.31626,0.75804,0.38876,0.4714,0.35941,1.74966,2.27751,1.53253,2.99772e-05,2.99772e-05,2.99772e-05
55,98.9439,0.85273,1.24569,1.14383,0.75804,0.38876,0.4714,0.35941,1.74966,2.27751,1.53253,2.99066e-05,2.99066e-05,2.99066e-05
56,100.698,1.1792,1.93629,1.57175,0.75804,0.38876,0.4714,0.35941,1.74966,2.27751,1.53253,2.98125e-05,2.98125e-05,2.98125e-05
57,102.473,0.86683,1.65621,1.27687,0.75509,0.38902,0.46124,0.35174,1.70214,2.24619,1.48516,2.96948e-05,2.96948e-05,2.96948e-05
